Model_name,Price,Manufacturer,Condition,Type,Distance,Color,Body_type,Fuel_type,Engine_cc
مرسيدس CLA 200 2023,"2,550,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"60,000 كم",Black,Coupe,Gas,1400.0
بي ام دبليو X2 2020,"1,350,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"123,000 كم",Blue,SUV,Gas,1500.0
بيجو 5008 2020,"1,500,000 ج.م.",بيجو,مستعملة,أوتوماتيك,"155,000 كم",Gray,SUV,Gas,1600.0
بي ام دبليو 218i 2020,"1,350,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"153,000 كم",Gray,Cabriolet,Gas,1500.0
نيسان صني 2019,"450,000 ج.م.",نيسان,مستعملة,أوتوماتيك,"140,000 كم",Silver,Sedan,Gas,1500.0
مرسيدس C200 2022,"3,075,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"48,000 كم",White,Sedan,Gas,1500.0
فولكس فاجن جولف 7 2014,"1,070,000 ج.م.",فولكس فاجن,مستعملة,أوتوماتيك,"197,000 كم",Navy Blue,Hatchback,Gas,1500.0
بي واى دى سيجال 2025,"820,000 ج.م.",بي واى دى,جديدة,أوتوماتيك,,Baby Blue,Hatchback,Electric,
بي واى دى يوان آب 2025,"1,105,000 ج.م.",بي واى دى,جديدة,أوتوماتيك,,Gray,SUV,Electric,
فولفو XC 90 2019,"2,500,000 ج.م.",فولفو,مستعملة,أوتوماتيك,"185,000 كم",Black,SUV,Gas,2000.0
كوبرا فورمينتور 2024,"2,000,000 ج.م.",كوبرا,مستعملة,أوتوماتيك,"29,000 كم",Black,SUV,Gas,2000.0
بي ام دبليو 520i 2018,"1,850,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"170,000 كم",Black,Sedan,Gas,2000.0
مرسيدس E200 2025,"4,650,000 ج.م.",مرسيدس,جديدة,أوتوماتيك,,White,Sedan,Gas,2000.0
بي واى دى سيليون 2025,"1,440,000 ج.م.",بي واى دى,جديدة,أوتوماتيك,,Gray,SUV,Electric,
بي ام دبليو i3 2025,"1,960,000 ج.م.",بي ام دبليو,جديدة,أوتوماتيك,,Black,Sedan,Electric,
نيسان قشقاي 2013,"690,000 ج.م.",نيسان,مستعملة,أوتوماتيك,"105,000 كم",White,SUV,Gas,1500.0
رينج روفر سبورت 2021,"4,590,000 ج.م.",رينج روفر,مستعملة,أوتوماتيك,"77,000 كم",White,SUV,Gas,2000.0
نيسان قشقاي 2018,"785,000 ج.م.",نيسان,مستعملة,أوتوماتيك,"112,000 كم",Silver,SUV,Gas,1200.0
مرسيدس GLA 200 2026,"3,380,000 ج.م.",مرسيدس,جديدة,أوتوماتيك,,Black,Hatchback,Gas,1300.0
هيونداى أكسنت 2006,"400,000 ج.م.",هيونداى,مستعملة,أوتوماتيك,196 كم,Maroon,Sedan,Gas,1500.0
مرسيدس GLA 200 2026,"3,380,000 ج.م.",مرسيدس,جديدة,أوتوماتيك,,White,Hatchback,Gas,1300.0
مرسيدس E200 2025,"4,650,000 ج.م.",مرسيدس,جديدة,أوتوماتيك,,White,Sedan,Gas,2000.0
ديبال S07 2025,"1,750,000 ج.م.",ديبال,جديدة,أوتوماتيك,,,,,
ديبال S07 2025,"1,750,000 ج.م.",ديبال,جديدة,أوتوماتيك,,Gray,SUV,Electric,
بي ام دبليو X2 2025,"3,100,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"8,000 كم",Red,SUV,Gas,1500.0
ستروين C3 2003,"235,000 ج.م.",ستروين,مستعملة,مانيوال,"73,000 كم",Silver,Hatchback,Gas,1400.0
مرسيدس C180 2022,"2,550,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"40,000 كم",Gray,Sedan,Gas,1500.0
لاند روفر ديفيندر 2020,"6,350,000 ج.م.",لاند روفر,مستعملة,أوتوماتيك,"10,000 كم",White,SUV,Gas,3000.0
مرسيدس EQE 350 2023,"3,000,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"10,000 كم",Black,SUV,Electric,
ديبال S05 2025,"1,550,000 ج.م.",ديبال,جديدة,أوتوماتيك,,White,SUV,Electric,
مرسيدس E 180 2019,"2,250,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"200,000 كم",Black,Sedan,Gas,1800.0
ديبال S05 2025,"1,550,000 ج.م.",ديبال,جديدة,أوتوماتيك,,White,SUV,Electric,
